dataset,case_id,msp,n_foreground,n_total
aortaseg24_test,subject061,0.9546522739081286,7458338,757256192
aortaseg24_test,subject062,0.9586191946268332,8420886,757256192
aortaseg24_test,subject063,0.962336692051544,5242274,757256192
aortaseg24_test,subject064,0.9537071643276962,4556405,757256192
aortaseg24_test,subject065,0.9521256798847414,4018601,989069312
aortaseg24_test,subject066,0.9637382597045444,5976056,706478080
aortaseg24_test,subject067,0.9612460852957944,4364644,847773696
aortaseg24_test,subject068,0.9585274795656016,5877978,989069312
aortaseg24_test,subject069,0.952767145237604,5855512,1130364928
aortaseg24_test,subject070,0.9654037477795564,4490471,989069312
aortaseg24_test,subject071,0.9592875669366732,5563498,1130364928
aortaseg24_test,subject072,0.9559804394533816,5167327,757256192
aortaseg24_test,subject073,0.9498151633032,6676885,1130364928
aortaseg24_test,subject074,0.9634448832825936,5137385,865435648
aortaseg24_test,subject075,0.956229591999838,6564740,865435648
aortaseg24_test,subject076,0.9551268991187466,8069581,556351488
aortaseg24_test,subject077,0.9550814199195592,4048582,757256192
aortaseg24_test,subject078,0.9521730290847848,8658106,757256192
aortaseg24_test,subject079,0.9575137891672276,6053793,757256192
aortaseg24_test,subject080,0.9593920174863187,6029521,757256192
aortaseg24_test,subject081,0.9568774442689588,4409923,989069312
aortaseg24_test,subject082,0.9619996712745198,3881886,865435648
aortaseg24_test,subject083,0.9657874426975332,3754665,706478080
aortaseg24_test,subject085,0.958603100731774,4994336,556351488
aortaseg24_test,subject086,0.9461814845216688,6426610,1271660544
aortaseg24_test,subject087,0.9556140368046224,2365589,476872704
aortaseg24_test,subject088,0.9585707676126056,5926273,757256192
aortaseg24_test,subject089,0.9600486968211032,3989932,757256192
aortaseg24_test,subject090,0.9636992586238534,7956556,989069312
aortaseg24_test,subject091,0.95606036976464,5006001,1130364928
aortaseg24_test,subject092,0.9424309684013568,4085877,757256192
aortaseg24_test,subject093,0.9581686603969356,3546119,989069312
aortaseg24_test,subject094,0.9602345390807472,4967463,989069312
aortaseg24_test,subject095,0.958790110109205,6441868,865435648
aortaseg24_test,subject096,0.9611441363359752,4694594,865435648
aortaseg24_test,subject097,0.9658881320804648,3575590,635830272
aortaseg24_test,subject098,0.9547763045780148,4619952,989069312
aortaseg24_test,subject099,0.953030251697271,7950194,757256192
aortaseg24_test,subject100,0.959035236462067,2915580,649076736
aortaseg24_test,subject101,0.9576036134313154,3061582,476872704
avt,D10,0.9559527767716712,2984085,635830272
avt,D11,0.9577889126906168,1181529,264929280
avt,D12,0.9646901432269072,2666947,423886848
avt,D13,0.9601048991494812,2801562,309084160
avt,D14,0.9678529926455096,1982464,220774400
avt,D15,0.9658721232485972,3277769,309084160
avt,D16,0.9670195237350382,2751797,423886848
avt,D17,0.9568586821756347,1330228,264929280
avt,D18,0.9657823189387502,1842215,264929280
avt,D1,0.954467989240478,3650273,847773696
avt,D2,0.9623486568625804,4627226,529858560
avt,D3,0.9575216866802502,3845277,386355200
avt,D4,0.9662618608695248,3707293,635830272
avt,D5,0.9578092738617392,1598797,370900992
avt,D6,0.9612320638116066,3258716,529858560
avt,D7,0.9631542046903662,3798244,264929280
avt,D8,0.9633752225881744,2165376,386355200
avt,D9,0.9691517641498076,3005544,331161600
avt,K10,0.9441680500342766,2642518,635830272
avt,K11,0.9511227646903726,3409955,635830272
avt,K12,0.9462060407157732,2975421,556351488
avt,K13,0.9436096495368036,3679992,865435648
avt,K14,0.942778138942985,3732482,865435648
avt,K15,0.948789867008072,2760395,556351488
avt,K16,0.9540533676002698,2270750,556351488
avt,K17,0.9320285702794016,2472326,386355200
avt,K18,0.94414681350102,3845950,556351488
avt,K19,0.8589510117583689,31930,59609088
avt,K1,0.9658738446569354,4054003,649076736
avt,K20,0.9080488346210486,1470307,275968000
avt,K2,0.949802350705268,2367917,386355200
avt,K3,0.941983286685562,4614924,1130364928
avt,K4,0.9574552715878142,4626174,989069312
avt,K5,0.9600793830742244,2806985,865435648
avt,K6,0.9556444380088877,4443030,556351488
avt,K7,0.8105170633140552,3540966,556351488
avt,K8,0.9429199276016684,5720150,757256192
avt,K9,0.9423575360796692,2531289,865435648
avt,R10,0.9337063510537535,8978942,556351488
avt,R11,0.9538209315825176,2600564,757256192
avt,R12,0.9550600678490356,4170508,556351488
avt,R13,0.9502738988117032,4726378,556351488
avt,R14,0.8700957385733786,760238,1788272640
avt,R16,0.8437138677309491,120888,3179151360
avt,R17,0.9571334635733948,2112719,757256192
avt,R18,0.9136244708286384,693588,1430618112
avt,R1,0.9439084829302086,6359826,556351488
avt,R2,0.9577627934689577,6356409,989069312
avt,R3,0.9437347146552326,3561765,1130364928
avt,R4,0.9494022942232512,3957970,635830272
avt,R5,0.9452574684624792,3606705,556351488
avt,R6,0.9513195289352936,4524114,556351488
avt,R7,0.9469028980123394,4906437,1130364928
avt,R8,0.964073659090647,5197858,556351488
avt,R9,0.9560229587609098,3153283,556351488
